Titlu	Autor	communal_coef	aesthetic_coef	dark_coef	thrilling_coef	cerebral_coef	Link	Description
Bun venit in univers	Neil deGrasse Tyson	1	3	1	3	10	https://www.goodreads.com/book/show/37492214-bun-venit-n-univers?from_search=true&from_srp=true&qid=9Vjp9fZGXb&rank=1	Planete, stele, galaxii, găuri negre, călătoria în timp. Aceste teme şi altele sunt abordate aici pe înţelesul tuturor, pornind de la foarte popularul curs introductiv în astronomie ţinut de Neil deGrasse Tyson, Michael A. Strauss şi J. Richard Gott la Princeton. Într-un stil incitant, autorii povestesc cele mai recente descoperiri în astrofizică, purtându-şi cititorii de la sistemul nostru solar până la cele mai îndepărtate regiuni ale Universului cunoscut: Cum trăiesc şi cum mor stelele? De ce nu mai e Pluto planetă? Ce şanse sunt să existe viaţă pe alte planete? Cum a luat naştere Universul? Suntem singuri sau facem parte dintr-un multivers? Bun venit în Univers – un tur de forţă pentru cunoaşterea lumii. „A citi cartea asta e ca şi cum ai primi un tur ghidat printr-un muzeu privat. Printre exponate se numără legile mişcării ale lui Newton, ce se întâmplă după ce Soarele nostru se stinge, cum se măsoară spaţiul dintre stele, ce e cu Big Bangul şi posibilitatea vieţii în alte galaxii.“ - Publishers Weekly
The Man Who Mistook His Wife for a Hat	Oliver Sacks	3	4	4	1	8	https://www.goodreads.com/book/show/63697.The_Man_Who_Mistook_His_Wife_for_a_Hat_and_Other_Clinical_Tales?from_search=true&from_srp=true&qid=ZlDXgaB3JY&rank=1	If a man has lost a leg or an eye, he knows he has lost a leg or an eye; but if he has lost a self—himself—he cannot know it, because he is no longer there to know it. Dr. Oliver Sacks recounts the stories of patients struggling to adapt to often bizarre worlds of neurological disorder. Here are people who can no longer recognize everyday objects or those they love; who are stricken with violent tics or shout involuntary obscenities; who have been dismissed as autistic or retarded, yet are gifted with uncanny artistic or mathematical talents. If inconceivably strange, these brilliant tales illuminate what it means to be human.
Arta negocierii	Chris Voss	3	3	1	1	10	https://www.goodreads.com/book/show/49429982-arta-negocierii?from_search=true&from_srp=true&qid=EoI3VTZS4N&rank=1	After a stint policing the rough streets of Kansas City, Missouri, Chris Voss joined the FBI, where his career as a kidnapping negotiator brought him face-to-face with bank robbers, gang leaders and terrorists. Never Split the Difference takes you inside his world of high-stakes negotiations, revealing the nine key principles that helped Voss and his colleagues succeed when it mattered the most – when people’s lives were at stake. Rooted in the real-life experiences of an intelligence professional at the top of his game, Never Split the Difference will give you the competitive edge in any discussion.
The World Atlas of Coffee	James Hoffman	1	7	1	1	9	https://www.goodreads.com/book/show/21563974-the-world-atlas-of-coffee?from_search=true&from_srp=true&qid=bu0NLR5hAm&rank=1	A beautiful world guide to the brown bean.
Of mice and men	John Steinbeck	4	6	2	3	5	https://www.goodreads.com/book/show/890.Of_Mice_and_Men?from_search=true&from_srp=true&qid=moUuWX58SO&rank=1	They are an unlikely pair: George is "small and quick and dark of face"; Lennie, a man of tremendous size, has the mind of a young child. Yet they have formed a "family," clinging together in the face of loneliness and alienation. Laborers in California's dusty vegetable fields, they hustle work when they can, living a hand-to-mouth existence. For George and Lennie have a plan: to own an acre of land and a shack they can call their own. When they land jobs on a ranch in the Salinas Valley, the fulfillment of their dream seems to be within their grasp. But even George cannot guard Lennie from the provocations of a flirtatious woman, nor predict the consequences of Lennie's unswerving obedience to the things George taught him. "A thriller, a gripping tale . . . that you will not set down until it is finished. Steinbeck has touched the quick." —The New York Times
Dune	Frank Herbert	4	4	4	8	1	https://www.goodreads.com/book/show/44767458-dune?from_search=true&from_srp=true&qid=5QUzsUXeXN&rank=1	Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the “spice” melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for... When House Atreides is betrayed, the destruction of Paul’s family will set the boy on a journey toward a destiny greater than he could ever have imagined. And as he evolves into the mysterious man known as Muad’Dib, he will bring to fruition humankind’s most ancient and unattainable dream.
Acid for the children	Flea	4	7	3	4	6	https://www.goodreads.com/book/show/39667068-acid-for-the-children?from_search=true&from_srp=true&qid=dmI2Z1jaWD&rank=1	The strange tale of a boy named Flea starts in Rye, NY. It was all very normal. But soon his parents divorced and his mother Patricia remarried a jazz musician. Flea's stepfather frequently invited musicians to his house for jam sessions which sparked Flea's interest in music. The family moved to Los Angeles, where Flea became fascinated with the trumpet, idolising musicians like Miles, Dizzy, and Louis. But the family soon fell apart. 'I was raised in a very violent, alcoholic household,' Flea later said. 'I grew up being terrified of my parents, particularly my father figures. It caused [me] a lot of trouble later in life.' He began smoking weed at 13 and became a daily user of harder drugs. He was on the streets by 14 and soon after, met another social outcast and drug user named Anthony Kiedis. They formed a band that would become the Red Hot Chili Peppers. Acid for the Children is pure, uncut Flea, with nothing left unsaid
The Three Body Problem	Catherine Shaw	2	1	5	9	2	https://www.goodreads.com/book/show/1773333.The_Three_Body_Problem?from_search=true&from_srp=true&qid=kfei6Pca3O&rank=2	Cambridge, 1888. Miss Vanessa Duncan is a young schoolmistress recently arrived from the countryside. She loves teaching and finds the world of academia fascinating; everything is going so well. But everything changes when a Fellow of Mathematics, Mr. Akers, is found dead in his room from a violent blow to the head. Invited to dinner by the family of one of her charges, Vanessa meets many of the victim's colleagues, including Mr. Arthur Weatherburn, who had dined with Mr. Akers the evening of his death and happens to be Vanessa's upstairs neighbor. Discussing the murder, she learns of Sir Isaac Newton's yet unsolved 'n-body problem', which Mr. Akers might have been trying to solve to win the prestigious prize. As the murder remains unsolved, Vanessa's relationship with Arthur Weatherburn blossoms. Then another mathematician, Mr. Beddoes is murdered and Arthur is jailed. Convinced of his innocence and with a theory of her own, Vanessa decides to prove her case. But when a third mathematician dies, it becomes a race against time to solve the puzzle. . .
The Fifth science	Exurb1a	1	7	5	2	5	https://www.goodreads.com/book/show/41580260-the-fifth-science?from_search=true&from_srp=true&qid=xciuh7djOc&rank=1	The Galactic Human Empire was built atop four sciences: logic, physics, psychology, and sociology. Standing on those pillars, humans spent 100,000 years spreading out into the galaxy: warring, exploring, partying — the usual. Then there was the fifth science. And that killed the empire stone dead. The Fifth Science is a collection of 12 stories, beginning at the start of the Galactic Human Empire and following right through to its final days. We’ll see some untypical things along the way, meet some untypical folk: galactic lighthouses from the distant future, alien tombs from the distant past, murderers, emperors, archaeologists and drunks; mad mathematicians attempting to wake the universe itself up. And when humans have fallen back into savagery, when the secrets of space folding and perfect wisdom are forgotten, we’ll attend the empire’s deathbed, hold its hand as it goes. Unfortunately that may well only be the beginning.
The Hitchhiker's Guide to the Galaxy	Douglas Adams	6	2	1	6	2	https://www.goodreads.com/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy?ac=1&from_search=true&qid=BNF0fBfYNp&rank=1	Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space.
Eragon	Christopher Paolini	6	4	2	10	1	https://www.goodreads.com/book/show/113436.Eragon?ac=1&from_search=true&qid=muOeHjqbts&rank=1	When Eragon finds a polished blue stone in the forest, he thinks it is the lucky discovery of a poor farm boy; perhaps it will buy his family meat for the winter. But when the stone brings a dragon hatchling, Eragon soon realizes he has stumbled upon a legacy nearly as old as the Empire itself. Overnight his simple life is shattered, and he is thrust into a perilous new world of destiny, magic, and power. With only an ancient sword and the advice of an old storyteller for guidance, Eragon and the fledgling dragon must navigate the dangerous terrain and dark enemies of an Empire ruled by a king whose evil knows no bounds. Can Eragon take up the mantle of the legendary Dragon Riders? The fate of the Empire may rest in his hands.
The Chronicles of Narnia	C.S. Lewis	8	2	1	6	1	https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe?from_search=true&from_srp=true&qid=mffprR5071&rank=1	Lucy is the first to find the secret of the wardrobe in the professor's mysterious old house. At first her brothers and sister don't believe her when she tells of her visit to the land of Narnia. But soon Edmund, then Peter and Susan step through the wardrobe themselves. In Narnia they find a country buried under the evil enchantment of the White Witch. When they meet the Lion Aslan, they realize they've been called to a great adventure and bravely join the battle to free Narnia from the Witch's sinister spell.
Mere Christianity	C.S. Lewis	7	4	1	1	5	https://www.goodreads.com/book/show/40792344-mere-christianity?from_search=true&from_srp=true&qid=d5fI6kscOU&rank=1	Mere Christianity is C.S. Lewis's forceful and accessible doctrine of Christian belief. First heard as informal radio broadcasts and then published as three separate books - The Case for Christianity, Christian Behavior, and Beyond Personality - Mere Christianity brings together what Lewis saw as the fundamental truths of the religion. Rejecting the boundaries that divide Christianity's many denominations, C.S. Lewis finds a common ground on which all those who have Christian faith can stand together, proving that "at the centre of each there is something, or a Someone, who against all divergences of belief, all differences of temperament, all memories of mutual persecution, speaks the same voice."
One Piece	Eiichiro Oda	8	2	8	10	1	https://www.goodreads.com/book/show/1237398.One_Piece_Volume_1?from_search=true&from_srp=true&qid=yaqC6cXgyQ&rank=1	A new shonen sensation in Japan, this series features Monkey D. Luffy, whose main ambition is to become a pirate. Eating the Gum-Gum Fruit gives him strange powers but also invokes the fruit's curse: anybody who consumes it can never learn to swim. Nevertheless, Monkey and his crewmate Roronoa Zoro, master of the three-sword fighting style, sail the Seven Seas of swashbuckling adventure in search of the elusive treasure "One Piece."
Vinland Saga	Makoto Yukimura	5	1	2	9	5	https://www.goodreads.com/book/show/7787959-vinland-saga-tome-1?ac=1&from_search=true&qid=P4MRR3o5ot&rank=1	Depuis qu'Askeladd, un chef de guerre fourbe et sans honneur, a tué son père lorsqu'il était enfant, Thorfinn le suit partout dans le but de se venger. Mais bien qu'il soit devenu un guerrier redoutable, il ne parvient toujours pas à vaincre son ennemi. Au fil des ans, enchaînant missions périlleuses et combats afin d'obtenir des duels contre l'homme qu'il hait plus que tout, le gentil Thorfinn est devenu froid et solitaire, prisonnier de son passé et incapable d'aller de l'avant. Jusqu'à ce que la vie le force à regarder le Monde différemment?
Good vibes good life	Vex King	4	4	3	1	10	https://www.goodreads.com/book/show/42186465-good-vibes-good-life?from_search=true&from_srp=true&qid=fzaDbAqg8z&rank=1	A beautifully designed book full of inspiring quotes and tried-and-tested wisdom on using positivity to create a life you love. How can you learn to truly love yourself? How can you transform negative emotions into positive ones? Is it possible to find lasting happiness? In this book, Instagram guru Vex King answers all of these questions and more.
Million Dollar Decision	Robert Rolih	1	3	1	3	10	https://www.goodreads.com/book/show/34570187-the-million-dollar-decision?ac=1&from_search=true&qid=VO5aFe9ARY&rank=1	"If you care about your financial future and if you don't want to get ripped off by the financial industry, read this book now." (Daven Michaels, NY Times bestselling author)
Genune Fraud	E. Lockhart	5	3	1	9	4	https://www.goodreads.com/book/show/33843362-genuine-fraud?from_search=true&from_srp=true&qid=cL2kC55ci5&rank=1	From the author of the unforgettable New York Times bestseller We Were Liars comes a masterful new psychological suspense novel--the story of a young woman whose diabolical smarts are her ticket into a charmed life. But how many times can someone reinvent themselves? You be the judge.
The Alchemist	Paulo Coelho	8	6	1	3	5	https://www.goodreads.com/book/show/18144590-the-alchemist?from_search=true&from_srp=true&qid=aIXdct08bP&rank=1	Paulo Coelho's enchanting novel has inspired a devoted following around the world. This story, dazzling in its powerful simplicity and soul-stirring wisdom, is about an Andalusian shepherd boy named Santiago, who travels from his homeland in Spain to the Egyptian desert in search of a treasure buried near the Pyramids. Along the way he meets a Romany woman, a man who calls himself a king, and an alchemist, all of whom point Santiago in the right direction for his quest. No one knows what the treasure is, or whether Santiago will be able to surmount the obstacles in his path; but what starts out as a journey to find worldly goods turns into a discovery of treasure within. Lush, evocative, and deeply humane, the story of Santiago is an eternal testament to the transforming power of our dreams and the importance of listening to our hearts.
The Mind’s Eye	Oliver Sacks	4	2	1	2	10	https://www.goodreads.com/book/show/7937653-the-mind-s-eye?from_search=true&from_srp=true&qid=elbPWJwH7M&rank=1	In Musicophilia, Oliver Sacks explored music and the brain; now, in The Mind's Eye, he writes about the myriad ways in which we experience the visual world: how we see in three dimensions; how we recognize individual faces or places; how we use language to communicate verbally; how we translate marks on paper into words and paragraphs; and, even how we represent the world internally when our eyes are closed. Alongside remarkable stories of people who have lost these abilities but adapted with courage, resilience and ingenuity, there is an added, personal element: one day in late 2005, Sacks became aware of a dazzling, flashing light in one part of his visual field; it was not the familiar migraine aura he had experienced since childhood, and just two days later a malignant tumor in one eye was diagnosed. In subsequent journal entries - some of which are included in The Mind's Eye - he chronicled the experience of living with cancer, recording both the effects of the tumor itself, and radiation therapy. In turning himself into a case history, Sacks has given us perhaps his most intimate, impressive and insightful (no pun intended) book yet.
Kafka pe malul mării	Haruki Murakami	7	9	3	2	6	https://www.goodreads.com/book/show/6755364-kafka-pe-malul-m-rii?ac=1&from_search=true&qid=StVJjRpzZU&rank=1	Romanul, publicat în 2002 și intrat imediat pe lista bestsellerurilor, este relatarea plină de fantezie a aventurilor unui adolescent care pleacă de acasă în căutarea mamei și a surorii dispărute cu mult timp în urmă și a șirului de coincidențe care-l leagă de un vagabond pe nume Nakata, ce suferă de pe urma unei traume din timpul războiului. Atracția irezistibilă dintre aceste două personaje care par să nu aibă nimic în comun nu este singurul detaliu inexplicabil din cuprinsul romanului: în universul construit de Murakami pisicile vorbesc, peștii cad din cer, iar spiritele își părăsesc trupul, mînate de nevoia de dragoste sau de sînge. Descrisă de Kirkus Review ca o „capodopera demnă de un Nobel”, cartea confirmă pe deplin reputația de povestitor neîntrecut a scriitorului japonez.
Small gods	Terry Pratchett	7	3	1	1	8	https://www.goodreads.com/book/show/34484.Small_Gods?from_search=true&from_srp=true&qid=swoQeT13tV&rank=1	Just because you can't explain it, doesn't mean it's a miracle.' Religion is a controversial business in the Discworld. Everyone has their own opinion, and indeed their own gods. Who come in all shapes and sizes. In such a competitive environment, there is a pressing need to make one's presence felt. And it's certainly not remotely helpful to be reduced to be appearing in the form of a tortoise, a manifestation far below god-like status in anyone's book. In such instances, you need an acolyte, and fast. Preferably one who won't ask too many questions... 
The Shining	Stephen King	1	3	9	9	2	https://www.goodreads.com/book/show/11588.The_Shining?ac=1&from_search=true&qid=WuNoiaIp0C&rank=1	Jack Torrance's new job at the Overlook Hotel is the perfect chance for a fresh start. As the off-season caretaker at the atmospheric old hotel, he'll have plenty of time to spend reconnecting with his family and working on his writing. But as the harsh winter weather sets in, the idyllic location feels ever more remote...and more sinister. And the only one to notice the strange and terrible forces gathering around the Overlook is Danny Torrance, a uniquely gifted five-year-old.
To Kill a Mockingbird	Harper Lee	6	1	8	2	3	https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird?from_search=true&from_srp=true&qid=SNJVVV7b1d&rank=1	The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it. "To Kill A Mockingbird" became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic. Compassionate, dramatic, and deeply moving, "To Kill A Mockingbird" takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.
The Inner Citadel: The Meditations of Marcus Aurelius	Pierre Hadot	1	8	3	1	8	https://www.goodreads.com/book/show/330370.The_Inner_Citadel?from_search=true&from_srp=true&qid=dhykqLrQTE&rank=3	The Meditations of Marcus Aurelius are treasured today - as they have been over the centuries - as an inexhaustible source of wisdom. And as one of the three most important expressions of Stoicism, this is an essential text for everyone interested in ancient religion and philosophy. Yet the clarity and ease of the work's style are deceptive. Pierre Hadot, eminent historian of ancient thought, uncovers new levels of meaning and expands our understanding of its underlying philosophy.
Blink	Ted Dekker	8	4	1	6	2	https://www.goodreads.com/book/show/2142.Blink?ac=1&from_search=true&qid=3yj7FXQfSR&rank=3	The future changes in the BLINK of an eye...or does it? Seth Borders isn't your average graduate student. For starters, he has one of the world's highest IQs. Now he's suddenly struck by an incredible power--the ability to see multiple potential futures. Still reeling from this inexplicable gift, Seth stumbles upon a beautiful woman named Miriam. Unknown to Seth, Miriam is a Saudi Arabian princess who has fled her veiled existence to escape a forced marriage of unimaginable consequences. Cultures collide as they're thrown together and forced to run from an unstoppable force determined to kidnap or kill Miriam.
The Power of Habit	Charles Duhigg	4	1	1	1	10	https://www.goodreads.com/book/show/12609433-the-power-of-habit?ac=1&from_search=true&qid=u8XfEXjM6D&rank=1	In The Power of Habit, award-winning New York Times business reporter Charles Duhigg takes us to the thrilling edge of scientific discoveries that explain why habits exist and how they can be changed. With penetrating intelligence and an ability to distill vast amounts of information into engrossing narratives, Duhigg brings to life a whole new understanding of human nature and its potential for transformation.
Mortality	Christopher Hitchens	5	3	10	1	7	https://www.goodreads.com/book/show/13529055-mortality?from_search=true&from_srp=true&qid=r8zdJpjMgO&rank=2	On June 8, 2010, while on a book tour for his bestselling memoir, Hitch-22, Christopher Hitchens was stricken in his New York hotel room with excruciating pain in his chest and thorax. As he would later write in the first of a series of award-winning columns for "Vanity Fair," he suddenly found himself being deported "from the country of the well across the stark frontier that marks off the land of malady." Over the next eighteen months, until his death in Houston on December 15, 2011, he wrote constantly and brilliantly on politics and culture, astonishing readers with his capacity for superior work even in extremis. Throughout the course of his ordeal battling esophageal cancer, Hitchens adamantly and bravely refused the solace of religion, preferring to confront death with both eyes open. In this account of his affliction, he describes the torments of illness, discusses its taboos, and explores how disease transforms experience and changes our relationship to the world around us. By turns personal and philosophical, Hitchens embraces the full panoply of human emotions as cancer invades his body and compels him to grapple with the enigma of mortality.
Think and Grow Rich	Napoleon Hill	3	1	1	3	10	https://www.goodreads.com/book/show/30186948-think-and-grow-rich?from_search=true&from_srp=true&qid=mbDG6lpPof&rank=1	This is the original 1937 version of Napoleon Hill's Classic Book: Think and Grow Rich. To the greatest extent possible, the text and formatting have been kept exactly the same as in the original release with the exception of some minor formatting changes.
Shōgun	James Clavell	1	5	2	7	5	https://www.goodreads.com/book/show/52382796-sh-gun?ac=1&from_search=true&qid=YsskduB1us&rank=1	After Englishman John Blackthorne is lost at sea, he awakens in a place few Europeans know of and even fewer have seen--Nippon. Thrust into the closed society that is seventeenth-century Japan, a land where the line between life and death is razor-thin, Blackthorne must negotiate not only a foreign people, with unknown customs and language, but also his own definitions of morality, truth, and freedom. As internal political strife and a clash of cultures lead to seemingly inevitable conflict, Blackthorne's loyalty and strength of character are tested by both passion and loss, and he is torn between two worlds that will each be forever changed. Powerful and engrossing, capturing both the rich pageantry and stark realities of life in feudal Japan, Shōgun is a critically acclaimed powerhouse of a book. Heart-stopping, edge-of-your-seat action melds seamlessly with intricate historical detail and raw human emotion. Endlessly compelling, this sweeping saga captivated the world to become not only one of the best-selling novels of all time but also one of the highest-rated television miniseries, as well as inspiring a nationwide surge of interest in the culture of Japan. Shakespearean in both scope and depth, Shōgun is, as the New York Times put it, "...not only something you read--you live it." Provocative, absorbing, and endlessly fascinating, there is only one: Shōgun.
