Marcaj de timp	În calitate de participant, am luat la cunoștință informarea privind prelucrarea datelor cu caracter personal care însoțește prezentul formular de consimțământ privind prelucrarea datelor personale.	Gen:	Vârstă (în ani împliniți):	Găsesc ceva bun de spus despre toți cei din jur.	Obișnuiesc să mă pregătesc în avans pentru ce urmează.	Mă simt bine când sunt înconjurat(ă) de oameni.	Mă simt melancolic(ă) des.	Consider că arta este importantă în viețile oamenilor.	Mă consider mai bun(ă) decat cei din jur.	Evit să îmi asum responsabilitatea pentru lucruri importante.	Îmi fac prieteni foarte ușor.	Găsesc multe lucruri care nu îmi plac la persoana mea.	Sunt interesat(ă) de partea filosofică a vieții.	Îmi place să îi tratez pe cei din jur cu bunătate.	Când am ceva de făcut mă apuc de treabă cât mai curând.	Mă descurc bine în contexte sociale.	Am gânduri negative foarte des.	Îmi place să merg la expoziții de artă, concerte sau alte evenimente artistice.	Îi accept pe cei din jur așa cum sunt și nu îi judec.	Punctualitatea este foarte importantă  pentru mine.	În contexte sociale eu sunt "sufletul petrecerii".	Trec foarte ușor de la o stare psihică la alta.	Am o imaginație foarte bogată.	De cele mai multe ori pun nevoile celor din jur înaintea nevoilor personale.	Întotdeauna mă țin de planurile pe care le fac.	Nu îmi place să atrag atenția asupra mea.	De multe ori mă simt anxios/anxioasă gândindu-mă la ce ar putea merge rău.	Îmi place să aud idei noi și opinii diferite de ale mele.	Uneori îmi place să mă cert cu cei din jur.	Întotdeauna îmi utilizez timpul la maximum.	Am foarte multe de spus.	Adesea mă îngrijorez că nu sunt suficient de bun(ă).	Nu mă interesează discuțiile abstracte.	Îi critic adeseori pe cei din jur.	Îmi este greu să încep să lucrez.	Prefer să nu fiu în centrul atenției.	Arareori mă simt melancolic(ă).	Nu sunt foarte interesat(ă) de arte.	Îmi abandonez activitățile imediat când cineva are nevoie de mine.	Îmi schimb adesea planurile.	Prefer să ascult decât să vorbesc.	Îmi place ce fel de persoană sunt.	Discuțiile filosofice mi se par plictisitoare.	Original(ă)	Perfecționist(ă)	Timid(ă)	Blând(ă)	Rigid(ă)	Curios/Curioasă	Uituc(ă)	Reținut(ă)	Agreabil(ă)	Agitat(ă)	Creativ(ă)	Disciplinat(ă)	Prietenos/Prietenoasă	Caritabil(ă)	Capricios/Capricioasă	Imaginativ(ă)	Organizat(ă)	Comunicativ(ă)	Modest(ă)	Pesimist(ă)	Enumerați între 1 și 5 cărți care v-au plăcut mult.	Enumerați una sau mai multe trăsături care vă atrag la o carte.
2022/05/08 6:59:41 p.m. GMT+3	Da	Masculin	22	4	3	3	4	5	2	2	5	5	4	5	2	5	3	4	4	5	5	5	5	5	3	4	4	3	2	4	5	5	1	2	1	4	2	2	5	4	5	4	2	4	5	4	5	4	5	2	4	4	2	3	5	4	5	4	3	4	3	3	2	Shogun, ABC-ul psihopatului de succes, Cel mai bogat om din Babilon, De la idee la bani	Recomandări, Review, Dezvoltare personala, Titlul și descrierea pe scurt
2022/05/08 7:25:26 p.m. GMT+3	Da	Masculin	23	4	3	3	2	2	2	3	5	2	2	5	3	3	1	2	4	4	4	2	4	3	4	3	3	3	2	5	3	2	4	2	3	3	2	4	3	3	3	5	3	4	5	3	3	3	5	2	3	3	2	4	3	5	3	2	4	3	4	4	1	Arta nepăsării	Dezvoltare personala
2022/05/08 8:01:15 p.m. GMT+3	Da	Masculin	22	4	4	2	5	5	4	4	1	4	3	4	1	2	4	2	3	4	1	5	2	4	2	5	4	3	2	1	2	5	2	3	5	5	2	4	4	3	5	3	2	2	5	4	4	5	3	4	5	5	2	1	4	4	3	4	2	4	3	4	5	Zece negri mititei, Agatha Christie; 12 Rules for life, Jordan Peterson; Fundația, Isaac Asimov; Culoarea Magiei, Terry Pratchet	suspans, creativitate, intrigă, utilitate pentru viața de zi cu zi
2022/05/08 8:16:35 p.m. GMT+3	Da	Feminin	21	3	4	3	1	5	3	2	5	3	3	4	3	3	1	5	2	3	3	3	5	4	3	4	2	5	1	3	5	3	1	1	2	3	2	1	4	2	2	4	1	5	4	3	4	1	5	4	1	4	5	5	3	5	5	2	5	3	5	4	3	Pacienta tacuta	Suspans, actiune, mister
2022/05/08 8:33:13 p.m. GMT+3	Da	Feminin	22	5	4	3	5	5	2	1	3	5	4	5	2	5	4	5	4	4	3	5	5	5	4	4	5	4	1	2	2	5	1	2	4	4	1	1	4	4	4	3	2	5	5	4	5	3	4	1	3	4	2	5	5	5	5	2	4	3	5	4	4	Stephen King - The Shining	Genul
2022/05/08 8:54:06 p.m. GMT+3	Da	Feminin	49	5	4	5	1	3	4	1	5	2	4	5	5	5	1	4	5	4	5	4	5	5	5	1	1	5	3	4	5	1	1	3	1	5	5	1	5	1	2	5	1	5	5	1	5	1	5	1	1	5	5	5	5	5	5	5	5	4	5	4	1	Papillon Inteligenta emotionala Introducere in psihologia universala Creierul si mintea Universului Psihanaliza 	Sa fie cu specific psihologic sau stiintific. Sa fie scrisa concret sau mai putin abstract Sa aiba caracter dramatic daca este beletristica Sa fie realista  
2022/05/08 9:31:16 p.m. GMT+3	Da	Feminin	22	4	3	5	2	4	3	1	5	3	5	5	3	5	1	3	4	4	3	2	3	4	4	3	2	4	1	4	3	4	3	1	2	3	5	4	4	2	4	4	2	3	3	2	4	1	4	3	5	4	1	3	4	5	3	3	3	4	4	3	1	Obsedatul de Stefan Zweig, Minunata poveste al lui Henry Sugar de Roald Dahl, Secretele succesului de Dale Carnegie	Cat de folositoare e, ce pot aplica dupa ce o citesc.
2022/05/08 9:40:00 p.m. GMT+3	Da	Feminin	24	3	4	3	4	3	1	2	1	5	5	4	2	2	4	3	3	5	2	3	4	4	4	4	4	3	2	2	2	5	2	3	5	5	4	3	3	3	5	3	1	3	3	5	4	4	4	5	4	4	4	2	3	3	3	2	3	3	3	4	5	Stapanul inelelor, 1984, Zbor deasupra unui cuib de cuci	Firul narativ liniar
2022/05/08 9:41:25 p.m. GMT+3	Da	Masculin	22	4	5	4	4	4	3	2	3	5	3	5	2	3	3	3	4	3	3	2	3	3	3	3	5	5	4	2	4	4	5	3	3	3	3	2	3	3	3	5	2	4	4	3	5	3	3	5	4	5	3	3	4	5	2	3	3	2	5	4	2	Zbor deasupra unui cuib de cuci, Ciuleandra	Character development
2022/05/08 9:43:47 p.m. GMT+3	Da	Feminin	55	4	5	5	2	5	1	1	5	1	5	5	4	4	1	5	4	5	3	1	4	5	4	2	2	5	1	4	5	5	1	1	1	3	5	1	5	3	5	4	1	4	4	4	4	4	5	4	4	5	2	4	3	5	5	1	4	4	5	5	2	Minunata povestire a lui Henry Sugar de Roald Dahl,  Sfaturile unui diavol bătrân către unul mai tânăr de CS Lewis, Scrisori către Lucilius de Seneca	Ritmul povestirii, intriga, rezolvarea intrigii
2022/05/08 9:45:06 p.m. GMT+3	Da	Feminin	21	4	5	4	5	5	3	2	3	4	4	5	2	3	4	4	4	3	1	4	5	4	3	3	4	4	2	3	3	4	2	3	4	3	1	1	4	3	4	3	2	4	3	4	5	2	5	3	4	4	4	4	3	3	4	4	5	4	4	3	3	Frații Karamazov, Ada sau Ardoarea - V. Nabokov, Spre far - V. Woolf, Muntele vrăjit - T. Mann	Meditativă, să aibă trope-uri gen să urmărească mai multe generații ale unei familii,  să se întindă pe mai multe veacuri, să se petreacă într-o singură locație/zi
2022/05/08 9:47:18 p.m. GMT+3	Da	Feminin	22	4	4	2	3	5	3	2	2	4	5	4	3	2	3	4	3	4	2	4	5	2	3	4	4	3	2	2	3	4	2	3	5	4	2	1	3	3	4	4	1	4	4	5	4	3	5	4	4	4	4	5	4	3	4	5	4	4	3	3	3	koji suzuki- cercul, povești de edgar alan poe, sufletul neinlantuit- andrew ceva, the help 	mister, groaza, intriga, personaje interesante
2022/05/08 10:12:11 p.m. GMT+3	Da	Feminin	52	5	5	5	3	3	2	2	5	3	1	5	3	4	3	3	5	5	4	3	5	4	4	3	4	3	1	1	1	5	5	1	2	3	3	5	3	4	3	4	3	3	1	2	4	1	3	3	3	3	4	3	2	5	3	1	3	1	5	5	3	Pe aripele vantului,Torente,talida,ion ,calaretul fara capsus	Suspansul
2022/05/08 10:20:22 p.m. GMT+3	Da	Masculin	22	4	5	4	4	2	4	2	1	3	2	4	2	3	4	1	2	5	4	4	5	5	2	4	4	3	2	2	4	5	5	5	2	4	3	4	4	4	4	5	5	4	5	5	4	2	5	2	2	4	4	1	3	4	2	3	3	2	3	3	2	Crima si pedeapsa Tarana si cenusa 	Aplicabilitatea in contextul actual politicii sau al vietii personale 
2022/05/08 10:38:54 p.m. GMT+3	Da	Masculin	21	3	3	4	2	4	3	2	4	5	4	4	1	4	4	5	4	4	3	4	5	4	3	2	5	5	3	3	5	5	1	1	4	3	3	1	3	2	3	4	1	5	4	2	4	1	5	5	2	5	5	4	3	4	4	2	4	1	4	4	2	Metro 2033, Cronica ucigașului de regi	Atmosfera
2022/05/08 11:18:10 p.m. GMT+3	Da	Masculin	22	5	5	3	5	3	3	2	3	5	5	4	2	3	5	3	2	3	2	5	3	3	3	3	4	2	1	1	3	5	1	4	4	2	1	4	4	3	2	2	2	2	2	2	5	4	4	2	2	3	2	2	5	4	2	2	2	2	3	2	2	Daniel Keyes - Flori pentru Algernon Liviu Rebreanu - Padurea spânzuraților Marin Preda - Marele singuratic Cella Serghi - Cartea Mironei Charles Dickens - Marile Speranțe 	Asocierea cu viața personală
2022/05/08 11:20:21 p.m. GMT+3	Da	Masculin	25	5	3	5	3	4	3	2	5	4	5	5	2	5	2	2	5	3	3	4	5	3	4	3	2	5	1	3	5	3	1	1	2	3	2	2	3	2	3	4	1	4	4	2	5	3	5	1	3	5	2	5	4	5	3	2	5	5	5	3	2	Horror short stories, Artemis, Game of thrones series	Actiune, drama, aventura, suspans
2022/05/09 12:47:50 a.m. GMT+3	Da	Masculin	23	2	3	3	5	4	5	2	4	4	5	5	2	5	5	3	5	3	5	5	5	4	3	1	4	5	5	3	5	4	1	4	5	1	1	2	4	3	2	5	1	4	3	3	4	3	5	3	3	1	2	5	2	5	4	2	5	1	5	1	5	Un veach de singuratate, batranul si marea	Consistenta tematic si stilistica, structura povestii, subiectul abordat si substratul filosofic 
2022/05/09 2:00:15 a.m. GMT+3	Da	Masculin	22	3	5	3	3	5	3	4	3	2	5	4	3	4	2	2	2	3	2	3	3	2	2	3	4	4	4	3	2	1	1	2	3	3	3	1	2	4	5	5	1	3	4	4	3	3	3	2	4	3	2	4	3	3	4	2	4	3	2	3	3	A certain magical Index, Fundația (si restul seriei lui Asimov)	Integrarea mesajului filozofic în poveste, acesta fiind dedus, nu transmis direct
2022/05/09 2:03:41 a.m. GMT+3	Da	Feminin	23	5	4	3	5	5	2	2	1	2	5	5	2	1	4	5	5	5	1	5	4	5	2	5	5	4	5	3	4	5	1	2	5	5	2	1	5	3	3	3	1	3	5	5	3	2	5	3	5	5	4	4	3	5	3	3	5	3	3	5	4	Mândrie și prejudecată, Ugly Love, Crimă la vicariat, Nemesis, Dintotdeauna tu	Romantism, mister, aventură, originalitate, emoție
2022/05/09 6:51:46 a.m. GMT+3	Da	Feminin	33	4	4	4	4	5	2	1	5	3	3	5	5	5	3	4	4	5	4	2	5	5	4	2	4	4	1	5	5	4	2	2	2	2	4	2	4	2	4	3	2	4	5	4	5	2	5	2	2	5	2	5	5	5	5	2	5	5	5	5	2	Jurnalele vampirilor Pacienta tăcută Verity 	Acțiune, suspans, intrigă 
2022/05/09 7:25:23 a.m. GMT+3	Da	Masculin	24	4	3	3	2	4	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	Serotonina 5 Totul e chimie in jur 5 Cum sa vorbesti in public 5 Arta subtila a nepasarii 5 	curiozitate  modul de a pune lucrurile  
2022/05/09 7:45:54 a.m. GMT+3	Da	Masculin	59	4	4	4	3	4	3	4	3	2	4	5	4	4	3	3	4	4	3	4	3	4	4	4	3	4	1	4	3	2	2	2	3	3	2	3	4	2	3	4	3	4	4	3	3	3	4	3	3	3	3	3	3	3	4	2	4	4	4	3	2	Ploaia	Fir narativ clar
2022/05/09 8:15:55 a.m. GMT+3	Da	Feminin	32	5	5	5	1	5	3	1	5	2	3	5	5	5	1	5	5	5	4	1	4	5	5	5	1	5	1	5	5	4	4	1	1	3	4	4	5	4	3	5	3	5	5	3	5	2	5	1	3	4	1	5	5	5	5	2	5	5	5	5	1	Puterea extraordinara a subconștientului tău 	Conținutul, paginația 
2022/05/09 9:15:07 a.m. GMT+3	Da	Feminin	21	4	4	4	3	4	2	2	3	4	3	4	3	4	3	4	4	5	3	3	4	4	4	3	3	4	3	3	2	3	2	2	4	3	4	2	2	2	4	3	2	4	4	2	3	3	4	2	3	3	2	4	4	4	4	3	4	5	5	4	3	The Picture of Dorian Grey; If we were villans; The Poppy War; Dune 	Genul (Sci-Fi/Fantasy), tipul scrierii, originalitatea, actiunea 
2022/05/09 9:58:45 a.m. GMT+3	Da	Masculin	55	3	4	3	3	3	3	2	2	3	4	4	3	3	3	1	2	4	2	2	4	4	4	3	4	3	3	3	4	4	3	3	3	3	3	3	4	3	3	4	3	3	4	4	3	4	4	2	2	3	4	4	4	3	3	4	4	4	3	3	4	cavalerii pardaillan, cei trei muschetari	actiune
2022/05/09 11:23:22 a.m. GMT+3	Da	Masculin	22	2	4	4	5	5	4	4	4	3	5	5	2	4	2	4	4	5	3	2	5	4	3	3	5	4	4	4	4	4	2	4	4	2	2	2	3	3	3	4	1	4	3	4	3	3	5	5	3	5	2	3	3	5	5	2	4	3	4	3	2	Huliganii - Mircea Eliade, Femei - Bukowski, Fundatia - Isaac Asimov	poveste, stilul scrisului
2022/05/09 11:38:17 a.m. GMT+3	Da	Feminin	21	5	5	2	2	5	1	2	4	2	4	5	2	3	2	4	5	4	1	4	4	4	4	5	2	5	1	2	1	4	1	1	2	1	2	1	4	4	5	4	1	4	2	2	5	2	5	5	5	5	1	5	4	5	3	1	5	5	5	4	5	Seria de detective de la Boris Akunin; Stephen Covey - 7 habits..., 8'habit..., ; Atomic Habits; Narconomics 	Denumirea, descrierea, mărimea textului, modul de narare
2022/05/09 11:47:30 a.m. GMT+3	Da	Feminin	20	4	4	2	4	5	1	2	2	5	4	4	2	2	5	5	5	2	2	5	5	2	2	5	5	5	3	2	4	5	1	2	4	5	2	2	2	5	5	3	1	4	4	5	2	4	4	5	5	5	5	4	4	3	3	5	5	2	2	5	5	seria Hunger Games 	Acțiunea este importantă pentru mine 
2022/05/09 11:51:20 a.m. GMT+3	Da	Feminin	24	5	5	3	2	5	1	3	3	5	5	5	2	4	5	5	4	5	4	2	5	3	1	3	5	5	4	2	5	5	1	2	3	4	5	1	2	5	2	5	1	5	5	3	5	3	5	5	3	4	3	5	2	5	5	3	5	3	5	4	2	Toti oamenii sunt muritori- Simone de Beauvoir Biblioteca de la miezul noptii- Matt Haig In cautarea sensului vietii- Viktor E. Frankl	Coperta
2022/05/09 12:03:25 p.m. GMT+3	Da	Feminin	20	5	5	5	5	5	2	3	3	2	5	5	4	3	4	3	4	5	2	5	5	4	4	5	5	5	1	4	3	5	2	2	3	3	2	2	3	2	4	3	2	3	4	5	5	2	4	3	4	4	2	4	4	4	4	3	5	4	4	5	5	Intre doua fronturi - de Oana David, Tatuatorul de la Auschwitz - de Heather Morris,  Fiica reichului - de Louise Fein, Scrisoarea pierduta de la Auschwitz - de Anna Ellory	fontul textului, aspectul copertei, tema principala,  modul de descriere actiunii si a personajelor
2022/05/09 12:05:05 p.m. GMT+3	Da	Masculin	22	1	2	1	2	3	5	4	3	5	4	3	2	3	2	2	3	4	3	5	5	1	3	2	1	5	5	2	3	5	1	5	5	3	2	4	4	3	4	1	2	5	3	3	3	4	5	2	3	4	1	5	5	5	1	5	5	3	2	2	3	In cautarea oii fantastice, Haruki Murakami	Nivelul de compatibilitate/ interesul starnit de rezumatul de pe spate
2022/05/09 12:19:40 p.m. GMT+3	Da	Masculin	23	3	4	3	3	5	1	2	3	3	5	5	5	5	2	5	4	5	3	1	4	3	3	3	3	5	1	4	3	4	1	2	2	3	3	1	3	3	3	3	1	3	4	3	4	2	4	2	2	3	3	4	4	4	4	2	4	3	3	3	2	Legiunea blestematilor, Crima si pedeapsa 	Titlul 
2022/05/09 12:20:11 p.m. GMT+3	Da	Feminin	21	4	4	3	3	4	3	2	3	4	4	4	3	4	3	3	4	4	3	3	3	3	3	3	4	4	3	3	4	4	3	3	3	3	3	2	3	3	3	4	3	3	3	3	3	3	4	2	2	4	3	4	3	4	4	4	4	3	4	3	2	Intelepciunea psihopatilor Camera minunilor Atomic Habits Secretele succesului 25 de moduri de a-i cuceri pe cei din jur	Calitatea Popularitatea 
2022/05/09 12:26:45 p.m. GMT+3	Da	Masculin	24	4	3	5	4	3	3	2	1	3	1	5	2	3	2	5	4	3	1	2	4	4	4	4	4	5	2	5	4	5	2	4	5	4	2	3	3	2	5	3	3	2	5	4	5	2	5	5	4	4	3	3	2	5	3	1	4	2	5	4	2	Harry Potter, Employer Branding, Mortal Engines, Focus	Utile (ofera cunostinte), poveste captivanta, determinarea de a te autoevalua
2022/05/09 12:38:46 p.m. GMT+3	Da	Masculin	25	3	4	3	3	4	2	3	4	4	3	4	1	2	3	2	4	4	1	2	2	3	2	5	4	3	1	1	3	4	3	2	5	5	3	2	3	3	4	4	2	2	4	4	4	3	4	3	2	4	3	2	2	4	2	2	2	2	4	5	4	Winnetou Narnia Basme/povstiri Singur pe Lume Vraciul - Tadeusz Dolega-Mostowicz	sa nu fie plictisitoare
2022/05/09 1:05:48 p.m. GMT+3	Da	Masculin	22	4	2	4	4	4	2	3	4	4	4	4	1	3	1	2	4	1	4	4	4	2	2	2	4	4	1	2	4	5	1	2	2	2	2	2	2	4	2	2	2	4	4	4	4	2	5	1	2	4	4	4	2	4	3	2	4	1	4	4	2	Brave New World; Head First Design Patterns;  Murder on the Orient Express; 	Actiune dinamica, informatii utile in cazul cartilor stiintifice
2022/05/09 1:10:09 p.m. GMT+3	Da	Masculin	25	5	5	4	1	5	1	1	4	2	1	5	4	4	1	5	5	5	2	1	4	4	4	5	5	5	1	4	1	5	4	1	1	5	1	1	5	1	5	4	1	5	4	5	5	2	5	4	5	5	2	4	5	4	5	1	4	5	4	5	2	1. 27 DE Pași-Tibi Ușeriu 2. DARK COCKPIT - Octavian Pantiș 3. INTELIGENȚĂ EMOȚIONALĂ- Daniel Goleman 4. CODUL LUI DA VINCI- Dan Brown 5. DE LA IDEE LA BANI- Napoleon Hill	Originalitate, continuitate. 
2022/05/09 1:41:56 p.m. GMT+3	Da	Masculin	52	4	5	5	4	4	3	2	5	2	3	5	5	4	1	4	4	4	3	1	4	2	4	2	2	4	2	4	4	1	2	2	1	2	3	2	2	2	3	4	2	4	4	2	4	3	5	1	3	3	1	5	4	5	3	3	5	4	4	2	4	Ion, Rascoa, Laleaua Neagră	Suspans
2022/05/09 1:44:41 p.m. GMT+3	Da	Feminin	30	5	4	3	4	5	2	3	5	3	5	5	2	4	2	4	4	5	3	5	5	4	4	5	4	5	1	2	5	5	1	3	3	5	3	1	4	3	4	3	1	4	5	4	4	3	4	5	3	4	5	4	3	5	4	3	5	3	4	3	2	Ma dor stramosii, calatorie in jurul omului, homo sapiens, lacrimi pentru cernobal, tragatori si mistificatori	Redactarea, mesajul, titlul, recenzii
2022/05/09 1:46:26 p.m. GMT+3	Da	Masculin	25	5	4	4	2	5	4	3	3	2	5	4	3	3	2	4	4	4	3	3	4	3	4	3	2	5	2	3	4	2	1	2	3	3	3	2	2	2	4	5	1	4	3	2	4	3	4	3	4	3	2	4	4	3	3	2	4	3	3	3	1	Gânduri către sine însuși (Marc Aureliu) Cel mai bogat om din Babilon (George S. Clason) Uluitorul Maurice si rozătoarele lui educate (Terry Pratchett) Procesul (F. Kafka) The secret of scent (Luca Turin) 	Mesaj adânc, preferabil otimist  Transmiterea unor informații importante Expunerea unei lumi diferite
2022/05/09 2:19:34 p.m. GMT+3	Da	Feminin	18	4	3	5	2	5	1	1	5	2	2	4	3	5	2	5	4	4	4	4	4	5	5	4	5	5	3	3	5	4	2	3	1	2	3	1	3	2	2	5	1	5	5	1	3	1	5	2	1	4	5	4	5	5	4	4	4	4	5	4	3	Mândrie și prejudecata, La răscruce de vanturi, Minunea, Marele Gatsby	Tema iubirii, acțiunea complicata, tipologii umane inedite
